Senadores,Partido,Género,Información ,Fecha Nac. (DD-MM-AAAA)
CLARA EUGENIA LOPEZ OBREGON,PACTO HISTORICO,F,"Nacida en Bogotá, Economista, sobrina del ex-presidente Alfonso Lopez Michelsen al que asistió como secretaria economica. Con una larga trayectoria politica desde los el año 1974 militando en la union patriotica y saliendo por un tiempo de la politica debido a que su vida corría riesgo. En 2003 vuelve a la politica como titular de la auditoría general de la republica para luego militar en el partido del polo democratico en el cual sigue activa y ahora como senadora de la coalición del pacto historico.",12/04/1950
ROBERT DAZA GUEVARA,PACTO HISTORICO,M,"Nacido en San Pablo, Nariño, Técnico en Agroecología, ingeniero agrónomo en la Universidad de Nariño y Licenciatura en Educación Ambiental y Desarrollo Comunitario en la Universidad Santo Tomás.",6/07/0194
YULY ESMERALDA HERNANDEZ SILVA,PACTO HISTORICO,F,"Nacida en Bogotá, Administradora pública, especialista en Análisis de politicas públicas con Magister en Gerencia para el Desarrollo, anteriormente alcaldesa local de Teusaquillo.",1/01/1986
WILSON NEBER ARIAS CASTILLO,PACTO HISTORICO,M,"Nacido en Cali, con estudios técnicos. Concejal de cali (2007- 2010) y representante a la camara ( 2010 - 2014) del Polo Democrático Alternativo por el departamento del Valle. Desde el año 2018 está ejerciendo como Senador de la Republica.",17/12/1962
GLORIA INES FLOREZ SCHNEIDER,PACTO HISTORICO,F,"Nacida en bucaramanga, designada secretaria de gobierno de Bogotá entre los años 2014 y 2015, candidata al congreso en el año 2018, En marzo de 2022, Flórez fue electa como senadora en la lista del Pacto Histórico",9/01/1962
NADYA GEORGETTE BLEL SCAFF,PARTIDO CONSERVADOR,F,"Nacida en Cartagena, Abogada especialista en gerencia de empresas comerciales con Magister en ciencias juridicas. En el periodo 2001 - 2003 ejerció como asesora del gobernador de Bolívar por 5 años.",11/08/1981
CARLOS ANDRES TRUJILLO GONZALEZ,PARTIDO CONSERVADOR,M,"Nacido en Itagui, Antioquia, alcalde de Itagui (2012 - 2015); destacado durante el año 2014 como el mejor mandatario local de Colombia. También diputado del departamento de Antioquia en 2007 y concejal de itagui entre los años 2004 y 2007.",30/06/1976
MARCOS DANIEL PINEDA GARCIA,PARTIDO CONSERVADOR,M,"Nacido en Montería, Córdoba, Ha sido alcalde de Montería en dos ocasiones: en el período 2008-2011, nuevamente en el periodo 2016-2019. Administrador de Empresas de la Universidad Sergio Arboleda, especialista en Comunicación y Gestión Política de la Universidad Complutense de Madrid y Magíster en Acción Política y Participación Ciudadana en el Estado de Derecho de la Universidad Francisco de Vitoria de Madrid. Fue electo Senador de la Republica para el periodo 2022-2026",5/06/1977
EFRAIN JOSE CEPEDA SARABIA,PARTIDO CONSERVADOR,M,"Nacido en Barranquilla, Economista industrial y especialista en altas finanzas. Ha sido senador de la República por 18 años, elegido como presidente  y dos veces como vicepresidente de la comisión cuarta de esta institución.",24/05/1950
LILIANA ESTHER BITAR CASTILLA,PARTIDO CONSERVADOR,F,"Nacida en Monteria cordoba, Economista de la Universidad Externado de Colombia, especialización en Gerencia de la Universidad Pontificia Bolivariana, Fue Secretaria de Hacienda de Cereté, Tesorera de la Comisión Nacional de Regalías, Jefe de Planeación de la Dirección de Estupefacientes y Subdirectora de Bienes de esa entidad.",
OSCAR BARRETO QUIROGA,PARTIDO CONSERVADOR,M,"Nacido Ibagué, Abogado con especialización en ciencia política. Concejal de Ibagué por el partido conservador en 1982, gobernador del Tolima en 2008 y 2016.",7/04/1961
DIELA LILIANA BENAVIDES SOLARTE,PARTIDO CONSERVADOR,F,"Nacida en Pasto, Medico Cirujano con especialización en Gerencia de Servicios de Salud. Alcaldesa del municipio de Guaitarilla en el periodo 2004-2007",22/04/1973
OSCAR MAURICIO GIRALDO HERNANDEZ,PARTIDO CONSERVADOR,M,"Nacido en Granada, Antioquia, misionero de lazos de Amor Mariano (Organización religiosa que surgió en 1999). Sin trayectoría politica.",
NICOLAS ALBEIRO ECHEVERRY ALVARAN,PARTIDO CONSERVADOR,M,"Nacido en medellin, Abogado y especialista en derecho administrativo de la Universidad de Medellín, congresista desde 2008, Representante a la Cámara desde 2014 -2022.",4/12/1964
JUAN SAMY MERHEG MARUN,PARTIDO CONSERVADOR,M,"Nacido en Pereira, Administrador de empresas. Congresista del partido conservador desde el año 2010 y senador de la república 2018 - 2022",4/04/1967
GERMAN ALCIDES BLANCO ALVAREZ,PARTIDO CONSERVADOR,M,"Nacido en medellin, abogado de la Universidad Autónoma de Medellín, congresista 2003 - 2018, senador de la república desde 2018.",6/11/1967
JUAN CARLOS GARCIA GOMEZ,PARTIDO CONSERVADOR,M,"Nacido en Cucuta, Abogado. Concejal de Cúcuta 2004-2007, presidente del directorio Nacional Conservador en 2005 y concejal de Cúcuta más joven en el periodo 2008 - 2011.",1/01/1979
JOSE ALFREDO MARIN LOZANO,PARTIDO CONSERVADOR,M,"Nacido en Santander, Administrador de empresas y especialista en Gerencia Pública. Sin trayectoria politica.",
MIGUEL ANGEL BARRETO CASTILLO,PARTIDO CONSERVADOR,M,"Nacido en Ibagué, Contador público con especialización en Finanzas y Derecho administrativo. Senador 2018 -2022 y reelecto para el periodo 2022 - 2026.",6/04/1978
SOLEDAD TAMAYO TAMAYO,PARTIDO CONSERVADOR,F,"Nacida en Palermo, Abogada especialista en Política Social. Concejal de Bogotá durante 21 años y senadora de la república 2018 - 2022 y 2022 - 2026.",20/03/1958
CESAR AUGUSTO PACHON ACHURY,PACTO HISTORICO,M,"Nacido en Carmen de Carupa, Cundinamarca, Ingeniero Agronomo que se ha desempeñado como profesor catedrático en la facultad de ciencias agropecuarias de la UPTC, fue representante a la cámara en el periodo 2018 - 2022 por el MAIS (Movimiento Alternativo Indigena y Social). Con una gran participación en temas sociales y uno ",21/05/1983
LIDIO ARTURO GARCÍA TURBAY,LIBERAL,M,"Nacido en el Carmen de Bolívar, Comunicador social, en 1995 ejerció como Concejal Municipal en Carmen de Bolívar, en el año 2000 fue Diputado de la Asamblea de Bolívar por el partido Liberal hasta el 2006 que presentó su renuncia para apirar a la Cmára de representantes. Senador de la república en los periodos 2010 - 2014, 2014 - 2018 y 2022 - 2026. ",10/02/1971
JUAN PABLO GALLO MAYA,LIBERAL,M,"Nacido en Pereira, Economista y especialista en Marketing y mercadeo. Concejal de Pereira en 2008. Fue alcalde de Pereira en el periodo 2016 - 2019 donde fue suspendido por tres meses en 2019 debido a participación política.",31/01/1979
KARINA ESPINOSA OLIVER,LIBERAL,F,"Abogada de la Universidad del Rosario, Especialista en Derecho Administrativo, Derecho Tributario y Gerencia de Proyectos con un Máster en Administración de Empresas y Liderazgo.",
ALEJANDRO CARLOS CHACON CAMARGO,LIBERAL,M,Nació en Cúcuta. Estudió derecho en la Universidad Libre con especialización en Derecho Administrativo y maestría en Derecho Penal.,2/10/1972
FABIO RAUL AMIN SALEME,LIBERAL,M,"Nacido en Santa Cruz de Lorica, Córdoba. Economista de la Universidad Javeriana y se desempeñó como Secretario General de la Alcaldía de Lorica, para luego pasar a la Asamblea Departamental de Córdoba (2004-2005) que presidió.",1/01/1976
MIGUEL ANGEL PINTO HERNANDEZ,LIBERAL,M,Nacido en Bucaramanga. Abogado egresado de la Universidad Autónoma de Bucaramanga con una especialización en derecho administrativo de la Universidad Santo Tomás.,14/11/1961
CLAUDIA MARIA PEREZ GIRALDO,LIBERAL,F,"Comunicadora social y periodista con especialización en gerencia de Marketing con experiencia en el sector privado y en la docencia. Sin trayectoria política, elegida como senadora de la república 2022-2026.",
ALEJANDRO ALBERTO VEGA PEREZ,LIBERAL,M,Nacido en Villavicencio. Abogado de la Universidad Santo Tomás. Bogotá. 2008. Especialista en Derecho Administrativo. Universidad del Rosario. Bogotá. 2009. Especialista en Derecho Constitucional. Universidad del Rosario. Bogotá. 2010. Especialista en Gestión de Entidades Territoriales. Universidad Externado. Bogotá. 2015,11/02/1986
JUAN DIEGO ECHAVARRIA SANCHEZ,LIBERAL,M,"Abogado Universidad Cooperativa de Colombia 2002. Especialista en Derecho Público, Universidad Autónoma Latinoamericana 2003. Magister en Derecho Administrativo, Universidad Autónoma Latinoamericana 2017.   Especialista en Derechos de la Infancia y de la Adolescencia. Universidad Externado de Colombia 2010. Especialista en Derecho Administrativo, Universidad Cooperativa de Colombia 2004.",
JAIME ENRIQUE DURAN BARRERA,LIBERAL,M,"Nacido en San Gil, Santander, Abogado de la Universidad Externado de Colombia, con especialización en Derecho Minero-Energético",3/08/1960
JOHN JAIRO ROLDAN AVENDAÑO,LIBERAL,M,"Nacido en  Yarumal, Antioquia. Ingeniero civil y político colombiano",7/12/1964
MAURICIO GOMEZ AMIN,LIBERAL,M,"Nacido en Barranquilla. Abogado, especialista en Derecho Público de la Universidad del Norte con estudios en Gerencia Política y Gobernabilidad de la Universidad del Rosario.",31/03/1982
MARIO ALBERTO CASTAÑO PEREZ,LIBERAL,M,"Nacido en Pácora. Contador público de la Universidad de Manizales, con posgrado en gerencia financiera de la Universidad Autónoma de Manizales y mágister de administración en UNAB del Instituto Tecnológico de Monterrey (México).",8/12/1971
LAURA ESTER FORTICH SANCHEZ,LIBERAL,F,"Nacida en Cartagena. Administradora de empresas, especialista en mercadeo y magister en Administración de Empresas.",28/02/1986
SARA JIMENA CASTELLANOS RODRIGUEZ,LIBERAL,F,"Profesional en Gobierno y Relaciones en la Universidad de Regent en Virginia, Estados Unidos. Actualmente está cursando una maestría en Administración pública en la Universidad Liberty.",1/01/1998
JONATHAN FERNEY PULIDO HERNANDEZ,ALIANZA VERDE,M,"Nacido en Bucaramango. Es un youtuber, celebridad de internet y activista político de Colombia.",1/01/1992
HUMBERTO DE LA CALLE LOMBANA,ALIANZA VERDE,M,"Nacido en Manzanares Caldas. Abogado, político, profesor, diplomático, escritor colombiano; con experiencia en políticas y asuntos públicos, derecho constitucional y administrativo.",14/07/1946
ARIEL FERNANDO AVILA MARTINEZ,ALIANZA VERDE,M,"Nacido en San Bernardo, Cundinamarca. Politólogo, ​y político colombiano. Fue subdirector de la fundación Paz y Reconciliación.",5/06/1983
ANGELICA LISBETH LOZANO CORREA,ALIANZA VERDE,F,"Nacida en Bogotá. Abogada, activista cívica y política colombiana.",7/05/1976
INTI RAUL ASPRILLA REYES,ALIANZA VERDE,M,"Nacido en Bogotá. Abogado de la Universidad de los Andes con Maestría en Derecho Internacional Económico de la Universidad de Ginebra Suiza, donde se graduó con mención especial por su tesis sobre 'Fusiones y Adquisiciones'.",9/10/1981
JAIRO ALBERTO CASTELLANOS SERRANO,ALIANZA VERDE,M,"Nacido en Toledo, Norte de Santander. Abogado de la Universidad Libre, fue alcalde entre 2016 y 2019 de Toledo.",1/01/1979
ANA CAROLINA ESPITIA JEREZ,ALIANZA VERDE,F,"Ingeniera Industrial y Magister en pensamiento estratégico y prospectiva con una trayectoria en administración pública, con cargos como la secretaría general de la gobernación de Boyacá, asesoría en la corporación autonóma regional de Boyacá.",
GUIDO ECHEVERRI PIEDRAHITA,ALIANZA VERDE,M,"Nacido en Marulanda (Caldas). Estudió Derecho en la U. de Caldas, especialista en Gerencia, Gobierno y Asuntos Públicos de la U. de Columbia-U. Externado y con estudios de doctorado en Ciencia Política de la U. de Salamanca España.",18/03/1954
ANDREA PADILLA VILLARRAGA,ALIANZA VERDE,F,Activista por los derechos de los animales. PhD en Derecho de la Universidad de los Andes.  Magíster en Criminología de la Universidad Católica de Lovaina.,
EDWING FABIAN DIAZ PLATA,ALIANZA VERDE,M,"Nacido en Piedecuesta-Santander. Líder ambiental de Piedecuesta, ha sido visible en el movimiento ambiental del departamento. ",26/05/1990
GUSTAVO ADOLFO MORENO HURTADO,ALIANZA VERDE,M,Nacido en Barrancabermeja. Politólogo de la Universidad del Rosario especialista en Gobierno y Gestión del Desarrollo Regional de la Universidad Católica.,1/01/1990
SOR BERENICE BEDOYA PEREZ,ALIANZA VERDE,F,"Nacida en Yarumal, Antioquia. Contadora Pública y actualmente es la Presidente Nacional del partido político Alianza Social Independiente – ASI.",
IVAN LEONIDAS NAME VASQUEZ,ALIANZA VERDE,M,Nacido en Barranquilla. Estudió Derecho en la Pontificia Universidad Javeriana,18/06/1957
SANDRA YANETH JAIMES ,PACTO HISTORICO,F,"Nacida en Charalá, santander, docente en la Normal Nacional de Charalá, desde el 2010 hace parte del sindicato de Educadores de Santander.",1/01/1976
MIGUEL URIBE TURBAY,CENTRO DEMOCRATICO,M,Nacido en Bogotá. abogado y político colombiano,28/01/1986
MARIA FERNANDA CABAL MOLINA,CENTRO DEMOCRATICO,F,"Nacida en Cali.  Empresaria, politóloga y política colombiana",8/08/1964
JOSUE ALIRIO BARRERA RODRIGUEZ,CENTRO DEMOCRATICO,M,"Nacido en Aguazul (Casanare). Domador de caballos, empresario, comerciante, ganadero y político colombiano",19/11/1976
ANDRES FELIPE GUERRA HOYOS,CENTRO DEMOCRATICO,M,Nacido en Medellin. Comunicador Social de la Universidad Pontificia Bolivariana. Especialista en Opinión Pública y Procesos Electorales de la Pontificia Universidad Javeriana.,1/01/1973
ESTEBAN QUINTERO CARDONA,CENTRO DEMOCRATICO,M,"Nacido en Rionegro, Antioquia. Abogado de la Universidad EAFIT, Especialista en Derecho Administrativo de la Universidad de Medellín, Especialista en Contratación Estatal UdeM, Actualmente cursa Maestría en Gobierno en la misma Universidad.",11/08/1986
PAOLA ANDREA HOLGUIN MORENO,CENTRO DEMOCRATICO,F,Nacida en Medellin.  Periodista y política colombiana.,12/11/1973
PALOMA SUSANA VALENCIA LASERNA,CENTRO DEMOCRATICO,F,"Nacida en Popayán. Abogada, política y líder de opinión colombiana",19/01/1978
ENRIQUE CABRALES BAQUERO,CENTRO DEMOCRATICO,M,Nacido en Mompóx. Administrador de Empresas.,17/10/1986
CARLOS MANUEL MEISEL VERGARA,CENTRO DEMOCRATICO,M,"Nacido en Barranquilla. Cantante y politólogo, con especialización en Mercadeo de la Universidad de los Andes y Maestría en Administración del Business School de Madrid, España.",10/05/1985
CIRO ALEJANDRO RAMIREZ CORTES,CENTRO DEMOCRATICO,M,"Nacido en Moniquirá, Boyaca. Político, empresario y abogado colombiano de la Pontificia Universidad Javeriana, especializado en derecho minero-petrolero de la Universidad Externado de Colombia, derecho contractual de la Universidad del Rosario, derecho de sociedades de la Pontificia Universidad Javeriana y Magíster en Gerencia Pública de la Universidad de Los Andes, escuela de gobierno Alberto Lleras Camargo. Actualmente está cursando un doctorado en derecho en Universidad Santo Tomas,",31/10/1984
JOSE VICENTE CARREÑO CASTRO,CENTRO DEMOCRATICO,M,Nacido en Barrancabermeja. En el año 2015 recibió su título como Administrador de empresas de la universidad Autónoma de las Américas. Miembro de la policía nacional durante 22 años en el periodo de 18 de enero de 1991 hasta el 02 de noviembre de 2012 donde se pensiono en uso de buen retiro durante estos años recibió distinciones.,21/04/1972
HONORIO MIGUEL HENRIQUEZ PINEDO,CENTRO DEMOCRATICO,M,Nacido en Santa Marta. Abogado de la Universidad de la Sabana con especialización en Opinión Pública y Mercadeo Político de la Universidad Javeriana.,24/07/1971
YENNY ESPERANZA ROZO ZAMBRANO,CENTRO DEMOCRATICO,F,"Nacida en Mosquera Cundinamarca. Estudió Diseño de espacios y escenarios en la Universidad Piloto, al igual que una especialización en Marketing político y estrategias de campaña en la Universidad Externado de Colombia.",31/07/1985
PAULINO RIASCOS ,PACTO HISTORICO,M,"Nacido en Lopez de Micay, Cauca, Cursó Ciencia Política en la universidad del Cauca (sin terminar). Pescador, campesino y lider social sin trayectoría en partidos politicos.",
DAVID ANDRES LUNA SANCHEZ,CAMBIO RADICAL,M,Nacido en Bogotá. Abogado y político colombiano.,27/02/1975
ARTURO CHAR CHALJUB,CAMBIO RADICAL,M,"Nacido en Barranquilla. Político colombiano de origen sirio, ​ Senador de la República de Colombia desde 2006. También es cantante y fue presidente del equipo de fútbol Junior de Barranquilla",5/11/1967
ANTONIO LUIS ZABARAIN GUEVARA,CAMBIO RADICAL,M,"Nacido en Cienaga, Magdalena. Estudio en Administración de Empresas, en Gestión Bancaria y Financiera y en Gerencia Financiera. Vinculado al sector privado.",31/12/1962
CARLOS ABRAHAM JIMENEZ LOPEZ,CAMBIO RADICAL,M,"Nacido en Yumbo, Antioquia. Ingeniero electricista egresado de la Universidad del Valle. Titular de la Secretaria de Tránsito del municipio de Yumbo.",28/04/1982
EDGAR JESUS DIAZ CONTRERAS,CAMBIO RADICAL,M,"Nacido en Chinacota Santander. Administrador de Empresas, especialista en Administración Pública y Alta Gerencia, cuenta con una amplia experiencia en el sector público.",15/02/1961
CARLOS MARIO FARELO DAZA,CAMBIO RADICAL,M,"Nacido en Ariguaní, Magdalena. Administrador de Empresas de la Universidad Autónoma del Caribe. Oriundo del Municipio de Ariguaní en el Departamento del Magdalena. Miembro del Partido Cambio Radical.",1/01/1986
JORGE ENRIQUE BENEDETTI MARTELO,CAMBIO RADICAL,M,Nacido en Cartagena. Abogado de la Universidad del Rosario y especialista en gobierno y gestión pública de la Universidad Javeriana.,13/04/1991
ANA MARIA CASTAÑEDA GOMEZ,CAMBIO RADICAL,F,"Nacida en Sincelejo. Administradora de Empresas y Especialista en Gerencia Pública de la Corporación Universitaria del Caribe (CECAR), con postgrado en Gobierno y Gestión Pública Territorial de la Pontificia Universidad Javeriana.",27/12/1984
CARLOS FERNANDO MOTOA SOLARTE,CAMBIO RADICAL,M,"Nacido en Palmira, Valle del Cauca. Abogado de la Universidad San Buenaventura Cali, especialista en Derecho Administrativo de la Universidad Pontificia Bolivariana, especialista en Gestión de Entidades Territoriales de la Universidad Externado de Colombia.",24/10/1975
JOSE LUIS PEREZ OYUELA,CAMBIO RADICAL,M,Nacido en Socorro Santander. Actualmente adelanta estudios de Administración en la UNAD.,24/04/1964
DIDIER LOBO CHINCHILLA,CAMBIO RADICAL,M,Nacido en Becerril Cesar. Es profesional en Administración de empresas y especialista en Gestión Pública,13/10/1971
JUAN CARLOS GARCES ROJAS,PARTIDO DE LA U,M,"Nacido en Cali. Profesional de Mercadeo y Negocios Internacionales de la Universidad Autónoma de Occidente, Especialista en Gestión de Proyectos de inversión de la Universidad Libre de Cali.",1/01/1977
JOHN MOISES BESAILE FAYAD,PARTIDO DE LA U,M,"Nacido en Córdoba, administrador de empresas, ex alcalde municipal de Sahagún, Córdoba",4/07/1970
NORMA HURTADO SANCHEZ,PARTIDO DE LA U,F,"Nacida en Buga (Valle). Abogada, especializada en Derecho Administrativo, en Administración en Salud, y en Gobierno Municipal y candidata a maestría en Políticas Públicas. ",13/10/1969
JOSE DAVID NAME CARDOZO,PARTIDO DE LA U,M,"Nacido en Barranquilla. Estudió Administración de Empresas en la Universidad Autónoma del Caribe en la ciudad de Barranquilla, adelantó estudios de idiomas en Georgia Tech y se especializó en Gerencia, Gobierno y Asuntos Públicos en la Columbia University de New York y en la Universidad Externado de Colombia.",18/11/1968
JUAN FELIPE LEMOS URIBE,PARTIDO DE LA U,M,"Nacido en Andes, Antioquia. Abogado de la Universidad de Medellín​​, Especialista en Contratación Estatal y Magíster en Gobierno de la Universidad Externado de Colombia.",12/07/1977
JULIO ELIAS CHAGUI FLOREZ,PARTIDO DE LA U,M,"Nacido en Cereté, Sucre. ",
ALFREDO RAFAEL DELUQUE ZULETA,PARTIDO DE LA U,M,"Nacido en Riohacha, Guajira. Abogado.  Universidad Externado de Colombia. Bogotá. 2000. Especialista en Derecho de las Telecomunicaciones. Universidad Externado de Colombia. Bogotá. 2001.",21/02/1977
BERNER LEON ZAMBRANO ERASO,PARTIDO DE LA U,M,"Nacido en Pasto, Nariño. economista de la Universidad de Nariño, Especialista en Derecho Económico de la Universidad Externado de Colombia y en Ciencia Política de la Universidad de Salamanca en España.",15/08/1958
JOSE ALFREDO GNECCO ZULETA,PARTIDO DE LA U,M,"Nacido en Valledupar, Cesar. Realizó algunos estudios de administración de empresas en el Tallahassee Community College de la ciudad de Tallahassee y Santa Fe Community College Gainesville, en el Estado de La Florida, Estados Unidos.",17/04/1976
ANTONIO JOSE CORREA JIMENEZ,PARTIDO DE LA U,M,Nacido en Cartagena.  Médico cirujano y político colombiano,14/06/1975
BEATRIZ LORENA RIOS CUELLAR,MIRA,F,Nacida en Cucuta. Abogada de la Universidad del Rosario y cuenta con una especialización en Derecho Ambiental,1/06/1975
CARLOS EDUARDO GUEVARA VILLABON,MIRA,M,Nacido en Bogotá. Ingeniero industrial y político colombiano,29/01/1977
ANA PAOLA AGUDELO GARCIA,MIRA,F,"Nacida en Ibagué, Tolima. Economista y política colombiana",5/05/1983
MANUEL ANTONIO VIRGUEZ PIRAQUIVE,MIRA,M,"Nacido en Bogotá. Abogado de la Corporación Universitaria Rafael Núñez de Cartagena, especialista en Negociación y Manejo de Conflictos de la Universidad del Norte de Barranquilla y en Estudios Políticos de la Universidad Sergio Arboleda.",10/05/1969
AIDA MARINA QUILCUE VIVAS,MAIS,F,"Nacida en Páez, Cauca. Política, lideresa indígena y líder social colombiana del pueblo nasa",
POLIVIO LEANDRO ROSALES CADENA,AICO,M,Nacido en la vereda Loma de Suras en el resguardo indígena de San Juan. Sociologo de la Universidad Nacional de Bogotá. Magister en desarrollo rural de la universidad javeriana.,20/01/1984
MARIA JOSE PIZARRO RODRIGUEZ,PACTO HISTORICO,F,Nacida en Bogotá. Política y artista plástica colombiana,30/03/1978
